handshake_id,session_id,protocol,client_ip,client_port,start_time,end_time,turnaround_latency_ms,total_duration_ms,client_hello_bytes,server_hello_bytes,total_client_bytes,total_server_bytes,status
140,1,Hybrid-PQC,192.168.1.3,60559,2026-09-09T09:00:43.236982,2026-09-09T09:00:43.249794,0.819,12.812,1249,1268,1399,1268,SUCCESS
141,1,Hybrid-PQC,192.168.1.3,60560,2026-09-09T09:00:58.964331,2026-09-09T09:00:59.080133,1.482,115.802,1249,1268,1399,1268,SUCCESS
142,1,Hybrid-PQC,192.168.1.3,60561,2026-09-09T09:01:14.730707,2026-09-09T09:01:14.989999,0.946,259.292,1249,1268,1399,1268,SUCCESS
143,1,Hybrid-PQC,192.168.1.3,60562,2026-09-09T09:01:30.808480,2026-09-09T09:01:31.034763,1.056,226.283,1249,1268,1399,1268,SUCCESS
144,1,Hybrid-PQC,192.168.1.3,60563,2026-09-09T09:01:46.679668,2026-09-09T09:01:46.899747,1.007,220.079,1249,1268,1399,1268,SUCCESS
145,1,Hybrid-PQC,192.168.1.3,60564,2026-09-09T09:02:02.495513,2026-09-09T09:02:02.511360,0.880,15.847,1249,1268,1399,1268,SUCCESS
146,1,Hybrid-PQC,192.168.1.3,60565,2026-09-09T09:02:18.104309,2026-09-09T09:02:18.125007,1.033,20.698,1249,1268,1399,1268,SUCCESS
147,1,Hybrid-PQC,192.168.1.3,60566,2026-09-09T09:02:33.721064,2026-09-09T09:02:33.738803,1.423,17.739,1249,1268,1399,1268,SUCCESS
148,1,Hybrid-PQC,192.168.1.3,60567,2026-09-09T09:02:49.331630,2026-09-09T09:02:49.364057,0.982,32.427,1249,1268,1399,1268,SUCCESS
149,1,Hybrid-PQC,192.168.1.3,60568,2026-09-09T09:03:04.981318,2026-09-09T09:03:05.002014,1.403,20.696,1249,1268,1399,1268,SUCCESS
150,1,Hybrid-PQC,192.168.1.3,60569,2026-09-09T09:03:20.597439,2026-09-09T09:03:20.629550,1.233,32.111,1249,1268,1399,1268,SUCCESS
151,1,Hybrid-PQC,192.168.1.3,60570,2026-09-09T09:03:36.222483,2026-09-09T09:03:36.253738,1.150,31.255,1249,1268,1399,1268,SUCCESS
152,1,Hybrid-PQC,192.168.1.3,60571,2026-09-09T09:03:51.918012,2026-09-09T09:03:52.149534,1.194,231.522,1249,1268,1399,1268,SUCCESS
153,1,Hybrid-PQC,192.168.1.3,60572,2026-09-09T09:04:07.747990,2026-09-09T09:04:07.769234,1.122,21.244,1249,1268,1399,1268,SUCCESS
154,1,Hybrid-PQC,192.168.1.3,60573,2026-09-09T09:04:23.366316,2026-09-09T09:04:23.396476,1.004,30.160,1249,1268,1399,1268,SUCCESS
155,1,Hybrid-PQC,192.168.1.3,60574,2026-09-09T09:04:39.001905,2026-09-09T09:04:39.016593,0.839,14.688,1249,1268,1399,1268,SUCCESS
156,1,Hybrid-PQC,192.168.1.3,60575,2026-09-09T09:04:54.636999,2026-09-09T09:04:54.653906,0.865,16.907,1249,1268,1399,1268,SUCCESS
157,1,Hybrid-PQC,192.168.1.3,60576,2026-09-09T09:05:10.261456,2026-09-09T09:05:10.285919,1.099,24.463,1249,1268,1399,1268,SUCCESS
158,1,Hybrid-PQC,192.168.1.3,60577,2026-09-09T09:05:25.922575,2026-09-09T09:05:25.936215,1.095,13.640,1249,1268,1399,1268,SUCCESS
159,1,Hybrid-PQC,192.168.1.3,60578,2026-09-09T09:05:41.543861,2026-09-09T09:05:41.562680,1.060,18.819,1249,1268,1399,1268,SUCCESS
160,1,Hybrid-PQC,192.168.1.3,60579,2026-09-09T09:05:57.161426,2026-09-09T09:05:57.188626,1.182,27.200,1249,1268,1399,1268,SUCCESS
